date,white_balls,yellow_ball,megaplier
3/1/2016,1|29|33|34|55,6,5X
3/4/2016,21|26|33|48|73,4,4X
3/8/2016,27|37|54|66|69,5,5X
3/11/2016,14|18|48|54|71,3,4X
3/15/2016,18|26|30|44|68,7,4X
3/18/2016,5|8|57|59|73,3,5X
3/22/2016,6|19|34|38|70,5,5X
3/25/2016,4|11|12|35|46,2,2X
3/29/2016,33|38|40|46|49,5,5X
4/1/2016,25|28|33|41|69,6,2X
4/5/2016,13|45|52|53|57,0,5X
4/8/2016,31|38|52|65|71,5,3X
4/12/2016,7|11|59|62|63,3,5X
4/15/2016,9|10|34|37|73,9,5X
4/19/2016,9|28|40|57|65,2,5X
4/22/2016,2|19|21|42|60,3,5X
4/26/2016,14|16|17|28|48,2,2X
4/29/2016,5|6|37|55|74,0,5X
5/3/2016,28|29|33|36|45,5,5X
5/6/2016,14|26|27|32|36,7,4X
5/10/2016,12|22|46|56|74,4,3X
5/13/2016,20|21|38|54|66,7,4X
5/17/2016,17|24|27|48|75,6,3X
5/20/2016,19|24|26|40|68,8,2X
5/24/2016,11|50|51|70|75,5,4X
5/27/2016,18|41|50|68|70,9,3X
5/31/2016,9|31|34|41|49,8,5X
6/3/2016,32|54|65|66|71,0,3X
6/7/2016,25|48|51|65|72,4,4X
6/10/2016,34|61|66|67|68,7,5X
6/14/2016,36|37|38|52|62,6,5X
6/17/2016,20|23|30|44|59,9,5X
6/21/2016,6|13|21|49|50,0,5X
6/24/2016,11|14|54|57|63,1,5X
6/28/2016,15|17|20|35|55,7,2X
7/1/2016,20|41|42|45|49,4,2X
7/5/2016,29|46|53|64|73,0,5X
7/8/2016,8|19|20|55|73,5,2X
7/12/2016,6|8|22|46|68,4,4X
7/15/2016,16|51|52|56|58,4,2X
7/19/2016,3|34|54|65|66,4,5X
7/22/2016,8|24|25|26|30,7,4X
7/26/2016,1|4|31|36|54,9,3X
7/29/2016,11|16|19|31|48,4,5X
8/2/2016,3|12|36|54|70,2,5X
8/5/2016,5|18|28|54|74,6,4X
8/9/2016,12|19|20|44|66,1,5X
8/12/2016,4|41|44|56|69,0,4X
8/16/2016,2|43|52|62|63,6,5X
8/19/2016,22|37|45|65|73,3,5X
8/23/2016,2|7|46|61|66,1,2X
8/26/2016,10|11|31|41|44,4,2X
8/30/2016,28|32|41|51|71,1,4X
9/2/2016,22|28|41|46|60,3,3X
9/6/2016,25|37|58|69|75,8,3X
9/9/2016,1|34|43|44|63,1,4X
9/13/2016,6|15|17|39|56,5,3X
9/16/2016,13|21|28|34|40,5,3X
9/20/2016,2|22|34|62|72,2,5X
9/23/2016,1|5|8|25|62,4,3X
9/27/2016,14|16|26|53|72,4,4X
9/30/2016,21|30|47|50|57,9,5X
10/4/2016,18|29|30|54|66,1,5X
10/7/2016,24|37|42|50|65,4,2X
10/11/2016,36|39|42|45|48,3,2X
10/14/2016,7|27|60|64|74,5,3X
10/18/2016,7|24|28|65|74,1,2X
10/21/2016,12|43|44|48|66,3,4X
10/25/2016,8|9|24|49|67,3,3X
10/28/2016,7|38|46|57|66,2,5X
11/1/2016,19|24|31|39|45,3,2X
11/4/2016,10|29|32|44|46,0,3X
11/8/2016,46|48|53|61|74,2,4X
11/11/2016,16|40|47|53|59,1,5X
11/15/2016,9|17|23|57|71,6,3X
11/18/2016,31|32|49|55|58,5,5X
11/22/2016,1|43|45|66|69,7,5X
11/25/2016,44|47|49|69|75,0,3X
11/29/2016,22|33|49|51|59,8,4X
12/2/2016,3|33|35|49|51,1,2X
12/6/2016,13|34|48|53|63,2,4X
12/9/2016,19|27|47|67|68,1,5X
12/13/2016,2|15|26|34|41,4,5X
12/16/2016,1|8|15|36|43,6,5X
12/20/2016,1|12|14|48|65,2,5X
12/23/2016,21|30|39|60|69,5,5X
12/27/2016,2|28|30|38|39,1,4X
12/30/2016,6|21|33|39|43,2,2X
1/3/2017,14|16|23|49|53,2,2X
1/6/2017,6|10|44|47|54,6,5X
1/10/2017,11|20|40|41|59,5,5X
1/13/2017,10|44|58|74|75,1,3X
1/17/2017,20|31|54|56|59,3,5X
1/20/2017,7|9|24|41|53,4,3X
1/24/2017,8|42|54|63|67,1,4X
1/27/2017,17|37|53|54|61,8,3X
1/31/2017,3|14|27|62|72,4,3X
2/3/2017,3|6|29|30|64,3,5X
2/7/2017,23|28|37|56|71,2,5X
2/10/2017,32|39|51|62|75,4,5X
2/14/2017,7|11|33|60|68,5,5X
2/17/2017,4|56|58|67|75,8,5X
2/21/2017,9|21|30|32|75,9,5X
2/24/2017,12|29|33|42|68,4,3X
2/28/2017,20|33|45|58|69,4,2X
3/3/2017,14|26|39|48|51,9,5X
3/7/2017,3|30|45|53|68,1,3X
3/10/2017,26|38|42|58|70,5,5X
3/14/2017,16|23|28|33|59,3,3X
3/17/2017,11|27|31|58|60,0,4X
3/21/2017,4|45|53|73|75,7,3X
3/24/2017,5|28|37|61|69,1,5X
3/28/2017,30|33|35|37|46,0,5X
3/31/2017,17|24|27|32|58,0,3X
4/4/2017,13|24|34|35|55,9,5X
4/7/2017,30|33|43|47|69,5,5X
4/11/2017,19|34|35|38|49,8,5X
4/14/2017,5|10|55|60|73,2,5X
4/18/2017,8|29|30|43|64,6,3X
4/21/2017,1|12|13|32|34,0,2X
4/25/2017,3|13|33|40|50,2,4X
4/28/2017,6|13|18|20|31,3,4X
5/2/2017,5|14|42|43|58,1,4X
5/5/2017,4|23|33|47|53,7,4X
5/9/2017,6|29|45|69|73,1,5X
5/12/2017,28|34|41|42|47,3,4X
5/16/2017,4|35|39|56|72,1,5X
5/19/2017,1|4|5|24|30,1,3X
5/23/2017,6|13|17|33|60,4,2X
5/26/2017,25|26|28|37|56,5,3X
5/30/2017,5|20|32|37|67,5,5X
6/2/2017,7|42|57|69|72,0,3X
6/6/2017,3|5|16|49|75,5,3X
6/9/2017,3|16|28|33|37,9,5X
6/13/2017,27|51|62|68|75,8,3X
6/16/2017,18|22|26|30|44,9,5X
6/20/2017,2|15|41|49|63,3,3X
6/23/2017,12|20|53|66|74,1,2X
6/27/2017,4|21|45|52|57,4,4X
6/30/2017,10|38|51|55|64,6,5X
7/4/2017,16|39|47|53|71,5,4X
7/7/2017,2|9|11|28|60,0,5X
7/11/2017,7|18|24|55|74,0,2X
7/14/2017,11|12|24|32|73,1,4X
7/18/2017,8|12|23|51|73,6,4X
7/21/2017,18|31|36|50|74,0,4X
7/25/2017,2|5|26|58|60,6,3X
7/28/2017,4|6|31|49|52,1,3X
8/1/2017,20|22|52|57|73,7,5X
8/4/2017,9|17|25|63|71,4,5X
8/8/2017,11|17|50|52|74,4,2X
8/11/2017,23|33|53|56|58,6,5X
8/15/2017,7|16|20|66|73,7,2X
8/18/2017,1|31|34|40|75,6,3X
8/22/2017,24|35|46|50|51,7,4X
8/25/2017,17|38|42|51|65,1,5X
8/29/2017,2|13|17|35|73,3,3X
9/1/2017,4|13|31|50|64,2,5X
9/5/2017,11|17|59|70|72,1,3X
9/8/2017,4|5|14|26|73,4,3X
9/12/2017,26|37|41|54|65,3,4X
9/15/2017,18|24|34|38|58,3,4X
9/19/2017,9|28|31|50|61,0,2X
9/22/2017,5|39|54|63|66,5,5X
9/26/2017,1|10|57|66|75,4,4X
9/29/2017,25|51|62|73|74,7,5X
10/3/2017,12|18|19|25|67,7,5X
10/6/2017,21|33|36|45|56,2,5X
10/10/2017,7|16|24|61|62,2,5X
10/13/2017,2|7|18|26|31,2,2X
10/17/2017,31|45|49|56|70,1,5X
10/20/2017,6|23|63|66|73,9,2X
10/24/2017,20|24|34|56|64,6,4X
10/27/2017,17|27|41|51|52,3,5X
